                id                | name  |                                                   jsondata                                                    
 371CBFDF45EF7940161892D54B8E1342 | qʷʰ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_stop"}
 B705DEA8FD3650C5FCF8B1C9B6AA7ED9 | ʃ͈     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_sibilant"}
 B9C749831BC59B5585B5AE2159F32788 | kʼ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Velar_ejective"}
 24934115EB451EB20C91AC9D2AD62537 | χ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_fricative"}
 E9371402620AF8436610DD6992BD6C1E | χ͈     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_fricative"}
 47EFCD8477F22831BBE168B378265EE9 | k͈     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_stop"}
 4E46C273A792BEDB9FA8AECFF337E31C | t͈s    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant_affricate"}
 11D5EDE5CF43EE6FA131900D77195344 | tʼ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Alveolar_ejective"}
 680281361599D0CF12A3F6A9E1FBDC41 | æˤ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Near-open_front_unrounded_vowel"}
 ED74AF5019F80FF5E1F4E598F0085639 | ɢ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_uvular_stop"}
 880758BD5ED63807802C1F6642E8BA81 | x͈ʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_fricative"}
 E0225FB09FFBFA34B51CC222B4363819 | tsʷʼ  | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant_affricate"}
 053C76BEF448ADAAFF121D3A2417DF5D | t̠͈ʃʷ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_affricate"}
 26013FB332CF0BE71214B7931073BEFF | q͈     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_stop"}
 7923B7E1859F891FD08B68F016654DB7 | tsʷʰ  | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant_affricate"}
 5D1D7FB69E1A3C0C60001FBC0C19ED87 | r     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Alveolar_trill"}
 CC1E157E56BC1B4B281FF3ACD292F7DF | xʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_fricative"}
 C749F95225239FC24D4A30336D874577 | q͈ʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_stop"}
 ECC959553F23387998DAF88D69D7736C | ɡ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_velar_stop"}
 17BDE6F898F295650E138E67E1A08E19 | χ͈ʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_fricative"}
 BAC70456E8C04CEFDCAC8240DAFE192F | tsʼ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Alveolar_ejective_affricate"}
 1230081C3710A6F95C105998800A8557 | qʷʼ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_stop"}
 EAD02D08B956008937F26E9D7AB013A3 | e̞ˤ    | {"wikipedia_url": "http://en.wikipedia.org//en.wikipedia.org/w/index.php?title=Template:Braille&action=edit"}
 27576040F496A94ABFDBED4A8A2B335B | ʃ͈ʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_sibilant"}
 961E5EE7C7D29AA4B75F53321D686803 | t̠͈ʃ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_affricate"}
 E77FDA2EAABA78B3E55A968B2257CF26 | z     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_alveolar_sibilant"}
 39531FD62BE1C71865C0681EBF03BE96 | ʃʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_sibilant"}
 C6880E4D32532681166EBA4D7D3AA2E0 | tsʰ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant_affricate"}
 B06A1427BEDBE2BB37AF458556E568BB | k̟ʲʼ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_stop"}
 B8654231A8D23801B38D10EE554ACBD5 | ʁ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_uvular_fricative"}
 2847FFD8A3B97966D75DD33CE2CB69C3 | t̻s̻ʼ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant_affricate"}
 91F5F4C7A31EE9B8A67881CCEBA056A9 | qχ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_affricate"}
 E473B50B2D71F773C5CA69249A005329 | ʔʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Glottal_stop"}
 FBC318499AE630AC597F813B3DE2F87A | ʝ̟     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_palatal_fricative"}
 0C22248269ACD60E1AD1F2639D5A6626 | fʼ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Labiodental_ejective_fricative"}
 414D673146D17C45361E43106C4235B9 | d̻z̻    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_alveolar_sibilant_affricate"}
 EB252A154777E7970835754CF71D5013 | x̟ʲ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_fricative"}
 7E92332057C9E596A64F461CBA82AF22 | d̻     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_alveolar_stop"}
 0E6B769D16BC510B7BCB6F4A77CAC233 | qχʷʼ  | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_affricate"}
 3D40216C9532536F883C5389136C5500 | s̻     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant"}
 1AA8835FD9E691ED7B29A34F2DBBD907 | a̟ː    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Open_front_unrounded_vowel"}
 020B8B36617F0D60A3D983AF53439AAA | ʁʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_uvular_fricative"}
 BB1834A39C9C6F2910C88A415CAC794E | o̞ː    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Close-mid_back_rounded_vowel"}
 AEE57D41391C35872E483F0A8AB5BF0A | t̻s̻    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant_affricate"}
